CITY,NAME,State
Addison,"Dallas-Fort Worth-Arlington, TX",TX
Aguila,"Phoenix-Mesa-Chandler, AZ",AZ
Alafaya,"Orlando-Kissimmee-Sanford, FL",FL
Alamo Heights,"San Antonio-New Braunfels, TX",TX
Aledo,"Dallas-Fort Worth-Arlington, TX",TX
Allen,"Dallas-Fort Worth-Arlington, TX",TX
Alma,"Dallas-Fort Worth-Arlington, TX",TX
Altamonte Springs,"Orlando-Kissimmee-Sanford, FL",FL
Altoona,"Orlando-Kissimmee-Sanford, FL",FL
Alvarado,"Dallas-Fort Worth-Arlington, TX",TX
Alvin,"Houston-The Woodlands-Sugar Land, TX",TX
Alvord,"Dallas-Fort Worth-Arlington, TX",TX
Ames,"Houston-The Woodlands-Sugar Land, TX",TX
Anahuac,"Houston-The Woodlands-Sugar Land, TX",TX
Angleton,"Houston-The Woodlands-Sugar Land, TX",TX
Anna,"Dallas-Fort Worth-Arlington, TX",TX
Anthem,"Phoenix-Mesa-Chandler, AZ",AZ
Apache Junction,"Phoenix-Mesa-Chandler, AZ",AZ
Apollo Beach,"Tampa-St. Petersburg-Clearwater, FL",FL
Apopka,"Orlando-Kissimmee-Sanford, FL",FL
Arcadia,"Houston-The Woodlands-Sugar Land, TX",FL
Arcola,"Houston-The Woodlands-Sugar Land, TX",TX
Argyle,"Dallas-Fort Worth-Arlington, TX",TX
Arizona City,"Phoenix-Mesa-Chandler, AZ",AZ
Arlington,"Dallas-Fort Worth-Arlington, TX",AZ
Arlington,"Dallas-Fort Worth-Arlington, TX",TX
Astatula,"Orlando-Kissimmee-Sanford, FL",FL
Astor,"Orlando-Kissimmee-Sanford, FL",FL
Atascocita,"Houston-The Woodlands-Sugar Land, TX",TX
Atlantis,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Aubrey,"Dallas-Fort Worth-Arlington, TX",TX
Aurora,"Dallas-Fort Worth-Arlington, TX",TX
Austin,"Austin-Round Rock-Georgetown, TX",NV
Austin,"Austin-Round Rock-Georgetown, TX",TX
Aventura,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Avondale,"Phoenix-Mesa-Chandler, AZ",AZ
Azalea Park,"Orlando-Kissimmee-Sanford, FL",FL
Azle,"Dallas-Fort Worth-Arlington, TX",TX
Bacliff,"Houston-The Woodlands-Sugar Land, TX",TX
Bal Harbour,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Balch Springs,"Dallas-Fort Worth-Arlington, TX",TX
Balcones Heights,"San Antonio-New Braunfels, TX",TX
Bandera,"San Antonio-New Braunfels, TX",TX
Bartlett,"Austin-Round Rock-Georgetown, TX",TX
Bartonville,"Dallas-Fort Worth-Arlington, TX",TX
Bastrop,"Austin-Round Rock-Georgetown, TX",TX
Bay City,"Houston-The Woodlands-Sugar Land, TX",TX
Bay Harbor Islands,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Bay Lake,"Orlando-Kissimmee-Sanford, FL",FL
Bayonet Point,"Tampa-St. Petersburg-Clearwater, FL",FL
Bayou Vista,"Houston-The Woodlands-Sugar Land, TX",TX
Baytown,"Houston-The Woodlands-Sugar Land, TX",TX
Beach City,"Houston-The Woodlands-Sugar Land, TX",TX
Beasley,"Houston-The Woodlands-Sugar Land, TX",TX
Bedford,"Dallas-Fort Worth-Arlington, TX",TX
Bee Cave,"Austin-Round Rock-Georgetown, TX",TX
Bellaire,"Houston-The Woodlands-Sugar Land, TX",TX
Belle Glade,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Belle Isle,"Orlando-Kissimmee-Sanford, FL",FL
Belleair,"Tampa-St. Petersburg-Clearwater, FL",FL
Belleair Bluffs,"Tampa-St. Petersburg-Clearwater, FL",FL
Belleair Shore,"Tampa-St. Petersburg-Clearwater, FL",FL
Bellville,"Houston-The Woodlands-Sugar Land, TX",TX
Benbrook,"Dallas-Fort Worth-Arlington, TX",TX
Biscayne Park,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Bithlo,"Orlando-Kissimmee-Sanford, FL",FL
Blue Diamond,"Las Vegas-Henderson-Paradise, NV",NV
Blue Mound,"Dallas-Fort Worth-Arlington, TX",TX
Blue Ridge,"Dallas-Fort Worth-Arlington, TX",TX
Blue Ridge,"Dallas-Fort Worth-Arlington, TX",AZ
Boca Raton,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Boerne,"San Antonio-New Braunfels, TX",TX
Bolivar Peninsula,"Houston-The Woodlands-Sugar Land, TX",TX
Boulder City,"Las Vegas-Henderson-Paradise, NV",NV
Boyd,"Dallas-Fort Worth-Arlington, TX",TX
Boynton Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",FL
Brandon,"Tampa-St. Petersburg-Clearwater, FL",FL
Brazoria,"Houston-The Woodlands-Sugar Land, TX",TX
Briarcliff,"Austin-Round Rock-Georgetown, TX",TX
Bridgeport,"Dallas-Fort Worth-Arlington, TX",TX
Brookshire,"Houston-The Woodlands-Sugar Land, TX",TX
Brooksville,"Tampa-St. Petersburg-Clearwater, FL",FL
Buckeye,"Phoenix-Mesa-Chandler, AZ",AZ
Buda,"Austin-Round Rock-Georgetown, TX",TX
Bulverde,"San Antonio-New Braunfels, TX",TX
